step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest
17,CASH_OUT,39402.52,C2808182056,165857.72,126455.20000000001,M5450550217,80065.9,119468.41999999998
5,TRANSFER,369737.58,C5774243778,396625.64,26888.059999999998,M301079451,0.0,369737.58
3,PAYMENT,16572.51,C6186746763,423154.82,406582.31,M487499944,298473.55,298473.55
8,CASH_OUT,184381.63,C9863716414,599719.52,415337.89,M2478586138,439642.76,624024.39
17,CASH_OUT,470248.71,C6630422027,688613.89,218365.18,M7615399476,0.0,470248.71
2,PAYMENT,449786.2,C2939558981,892447.68,442661.48000000004,M2331385749,0.0,0.0
21,PAYMENT,287025.76,C2355517970,59109.47,0.0,M4639962989,610690.97,610690.97
19,TRANSFER,373697.24,C8708255883,193714.92,0.0,M6674346105,0.0,373697.24
18,CASH_OUT,280278.11,C5001792782,305723.75,25445.640000000014,M832729116,0.0,280278.11
23,CASH_OUT,199277.67,C9786651993,798959.2,599681.5299999999,M5918598390,0.0,199277.67
10,PAYMENT,167359.63,C7869285622,806739.04,639379.41,M6062903486,620650.59,620650.59
24,PAYMENT,177902.2,C2690917837,862670.85,684768.6499999999,M9391675416,875444.83,875444.83
14,DEBIT,236865.36,C3920856815,912655.11,675789.75,M9221656585,36943.42,36943.42
16,CASH_OUT,174382.35,C9259663658,373044.61,198662.25999999998,M3745738529,315431.45,489813.80000000005
9,DEBIT,172483.79,C8269558688,393468.75,220984.96,M2270791570,783080.68,783080.68
11,TRANSFER,314861.4,C6738284971,34564.81,0.0,M4148217348,873454.38,1188315.78
13,DEBIT,123341.1,C2884820446,708273.11,584932.01,M1441891161,57873.92,57873.92
24,TRANSFER,81115.57,C3585594322,500898.54,419782.97,M975297704,0.0,81115.57
7,DEBIT,31941.93,C4318187267,848055.63,816113.7,M5717511987,0.0,0.0
4,TRANSFER,149450.48,C7148126772,665408.85,515958.37,M7973180131,768485.38,917935.86
20,CASH_OUT,385273.5,C6350410405,104054.71,0.0,M8667304511,0.0,385273.5
3,TRANSFER,370934.47,C3243850904,865717.86,494783.39,M7845444776,0.0,370934.47
13,TRANSFER,352379.38,C1481610089,424373.1,71993.71999999997,M5933909892,363997.97,716377.35
23,PAYMENT,124612.22,C4326891572,483634.37,359022.15,M7258521198,0.0,0.0
22,PAYMENT,466666.86,C9840233397,818067.79,351400.93000000005,M9451234297,384021.4,384021.4
